Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Arion lusitanicus,Actinopterygii,Siluriformes,Ariidae,"Citrobacter freundii, Citrobacter gillenii, Escherichia coli, Klebsiella oxytoca, Kluyvera cryocrescens",NA,"Alloionema appendiculatum, Angiostoma dentifera, Buttiauxella izardii, Raoultella ornithinolytica, Raoultella planticola",bacteria/rickettsia,Cargo- carrier,1,5,4,EID2,1,92
Litoria caerulea,Amphibia,Anura,Hylidae,Spirometra erinaceieuropaei,NA,Batrachochytrium dendrobatidis,helminth,Cargo- carrier,1,1,1,EID2,2,200
Lithobates catesbeianus,Amphibia,Anura,Ranidae,"Elizabethkingia meningoseptica, Lactococcus lactis, Streptococcus iniae",NA,"Batrachochytrium dendrobatidis, Frog virus 3, Glypthelmins pennsylvaniensis, Glypthelmins quieta, Gorgodera amplicava, Gyrodactylus jennyae, Haematoloechus breviplexus, Haematoloechus floedae, Haematoloechus longiplexus, Haematoloechus parviplexus, Haematoloechus varioplexus, Trypanosoma rotatorium",bacteria/rickettsia,Cargo- carrier,0,3,11,EID2,1,61
Oribatula tibialis,Arachnida,Sarcoptiformes,Oribatulidae,Cladosporium cladosporioides,NA,Bionectria ochroleuca,fungi,Cargo- carrier,0,1,1,EID2,3,110
Steganacarus magnus,Arachnida,Sarcoptiformes,Phthiracaridae,Aureobasidium pullulans,NA,Absidia glauca,fungi,Cargo- carrier,0,1,1,EID2,1,20
Accipiter cooperii,Aves,Accipitriformes,Accipitridae,West nile,NA,"Columbid herpesvirus 1, Haemoproteus elani, Leucocytozoon toddi",virus,Cargo- carrier,1,1,3,EID2,1,300
Accipiter gentilis,Aves,Accipitriformes,Accipitridae,West nile,NA,,virus,Cargo- carrier,1,1,0,EID2,1,124
Accipiter gularis,Aves,Accipitriformes,Accipitridae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,3,82
Accipiter trivirgatus,Aves,Accipitriformes,Accipitridae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,76
Buteo buteo,Aves,Accipitriformes,Accipitridae,Influenza a,NA,"Leucocytozoon toddi, Trypanosoma avium",virus,Cargo- carrier,1,1,2,EID2,7,841
Buteo jamaicensis,Aves,Accipitriformes,Accipitridae,West nile,NA,"Haemoproteus elani, Highlands j, Leucocytozoon toddi",virus,Cargo- carrier,1,1,2,EID2,4,428
Buteo lagopus,Aves,Accipitriformes,Accipitridae,Newcastle disease,NA,,virus,Cargo- carrier,1,1,0,EID2,1,21
Buteo lineatus,Aves,Accipitriformes,Accipitridae,West nile,NA,Leucocytozoon toddi,virus,Cargo- carrier,1,1,1,EID2,1,300
Milvus migrans,Aves,Accipitriformes,Accipitridae,Influenza a,NA,Fowl adenovirus c,virus,Cargo- carrier,1,1,0,EID2,7,596
Pandion haliaetus,Aves,Accipitriformes,Pandionidae,Escherichia coli,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,2,85
Aix sponsa,Aves,Anseriformes,Anatidae,"Influenza a, Newcastle disease",NA,,virus,Cargo- carrier,1,2,0,EID2,1,300
Alopochen aegyptiaca,Aves,Anseriformes,Anatidae,Influenza a,NA,Avian paramyxovirus 4,virus,Cargo- carrier,1,1,0,EID2,4,757
Anas capensis,Aves,Anseriformes,Anatidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,1,39
Anas querquedula,Aves,Anseriformes,Anatidae,"Influenza a, West nile",NA,Schistogonimus rarus,virus,Cargo- carrier,1,2,1,EID2,1,42
Anas superciliosa,Aves,Anseriformes,Anatidae,Influenza a,NA,,virus,Cargo- carrier,1,1,0,EID2,2,183
Dendrocygna viduata,Aves,Anseriformes,Anatidae,Influenza a,NA,Avian metapneumovirus,virus,Cargo- carrier,1,1,0,EID2,1,360
